Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,HouseAge,RoomDensity,SaleYear,SaleMonth
abbotsford,78 yarra st,3,h,1176500.0,s,little,,2.5,3067.0,2.0,1.0,1.0,138.0,105.0,1890.0,yarra,-37.8021,144.9965,northern metropolitan,4019.0,135.0,0.02158273381294964,,
abbotsford,196 nicholson st,3,h,955000.0,s,collins,,2.5,3067.0,3.0,1.0,0.0,183.0,126.0,1970.0,yarra,-37.8022,144.9975,northern metropolitan,4019.0,55.0,0.016304347826086956,,
abbotsford,42 valiant st,2,h,890000.0,s,biggin,,2.5,3067.0,2.0,1.0,1.0,150.0,73.0,1985.0,yarra,-37.8011,145.0004,northern metropolitan,4019.0,40.0,0.013245033112582781,,
abbotsford,3/72 charles st,4,h,1330000.0,pi,kay,,2.5,3067.0,4.0,2.0,2.0,780.0,135.0,1900.0,yarra,-37.8073,144.9952,northern metropolitan,4019.0,125.0,0.005121638924455826,,
abbotsford,13/11 nicholson st,3,t,900000.0,s,beller,,2.5,3067.0,3.0,2.0,2.0,0.0,126.0,2010.0,yarra,-37.8093,144.9959,northern metropolitan,4019.0,15.0,3.0,,
abbotsford,138/56 nicholson st,3,u,1090000.0,s,jellis,,2.5,3067.0,3.0,2.0,2.0,4290.0,27.0,1970.0,yarra,-37.8078,144.9965,northern metropolitan,4019.0,55.0,0.0006991377301328362,,
abbotsford,6/219 nicholson st,2,u,500000.0,s,collins,,2.5,3067.0,2.0,1.0,1.0,0.0,60.0,1970.0,yarra,-37.8015,144.9972,northern metropolitan,4019.0,55.0,2.0,,
abbotsford,52a william st,2,h,1100000.0,pi,biggin,,2.5,3067.0,2.0,2.0,1.0,124.0,135.0,2013.0,yarra,-37.8079,144.9977,northern metropolitan,4019.0,12.0,0.016,,
abbotsford,49 park st,2,h,1315000.0,s,marshall,,2.5,3067.0,2.0,1.0,0.0,147.0,85.0,1900.0,yarra,-37.808,144.994,northern metropolitan,4019.0,125.0,0.013513513513513514,,
abbotsford,5/20 abbotsford st,1,u,426000.0,sp,greg,,2.5,3067.0,1.0,1.0,1.0,0.0,126.0,1970.0,yarra,-37.8016,144.9988,northern metropolitan,4019.0,55.0,1.0,,
abbotsford,48 abbotsford st,3,h,1447500.0,pi,nelson,,2.5,3067.0,3.0,3.0,1.0,166.0,174.0,2012.0,yarra,-37.8017,145.0001,northern metropolitan,4019.0,13.0,0.017964071856287425,,
abbotsford,116/56 nicholson st,1,u,457000.0,s,jellis,,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,1970.0,yarra,-37.8078,144.9965,northern metropolitan,4019.0,55.0,1.0,,
abbotsford,159 park st,2,h,1135000.0,s,nelson,,2.5,3067.0,2.0,2.0,2.0,98.0,128.0,1920.0,yarra,-37.8005,144.9952,northern metropolitan,4019.0,105.0,0.020202020202020204,,
abbotsford,31 turner st,4,h,1542000.0,s,collins,,2.5,3067.0,4.0,3.0,1.0,0.0,126.0,1970.0,yarra,-37.7994,144.9965,northern metropolitan,4019.0,55.0,4.0,,
abbotsford,166 gipps st,3,h,1290000.0,s,biggin,,2.5,3067.0,3.0,2.0,2.0,147.0,18.0,1970.0,yarra,-37.805,144.9943,northern metropolitan,4019.0,55.0,0.02027027027027027,,
abbotsford,60 stafford st,3,h,1290000.0,s,biggin,,2.5,3067.0,3.0,1.0,1.0,168.0,124.0,1950.0,yarra,-37.8007,144.9958,northern metropolitan,4019.0,75.0,0.01775147928994083,,
abbotsford,11/205 gipps st,1,u,470000.0,s,nelson,,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,2013.0,yarra,-37.8055,144.9961,northern metropolitan,4019.0,12.0,1.0,,
abbotsford,47 studley st,2,h,1180000.0,s,jellis,,2.5,3067.0,2.0,1.0,0.0,162.0,91.0,1900.0,yarra,-37.8016,144.9956,northern metropolitan,4019.0,125.0,0.012269938650306749,,
abbotsford,45 yarra st,3,h,1195000.0,sp,jellis,,2.5,3067.0,3.0,2.0,1.0,120.0,128.0,1998.0,yarra,-37.8022,144.9954,northern metropolitan,4019.0,27.0,0.024793388429752067,,
abbotsford,200 nicholson st,2,h,1012500.0,s,nelson,,2.5,3067.0,2.0,1.0,0.0,182.0,82.0,1900.0,yarra,-37.8021,144.9976,northern metropolitan,4019.0,125.0,0.01092896174863388,,
abbotsford,27 charles st,2,h,1030000.0,s,biggin,,2.5,3067.0,2.0,1.0,1.0,172.0,81.0,1930.0,yarra,-37.8086,144.9946,northern metropolitan,4019.0,95.0,0.011560693641618497,,
airport west,154 halsey rd,3,t,840000.0,pi,nelson,2016-03-09,13.5,3042.0,3.0,2.0,1.0,303.0,225.0,2016.0,moonee valley,-37.718,144.878,western metropolitan,3464.0,9.0,0.009868421052631578,2016.0,3.0
airport west,50 bedford st,3,h,730000.0,vb,nelson,2016-03-12,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,moonee valley,-37.7203,144.8755,western metropolitan,3464.0,60.0,3.0,2016.0,3.0
airport west,50 bedford st,3,h,770000.0,sp,nelson,2017-04-03,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,moonee valley,-37.7203,144.8755,western metropolitan,3464.0,60.0,3.0,2017.0,4.0
airport west,23 hart st,2,h,603000.0,s,nelson,2017-04-03,13.5,3042.0,2.0,1.0,1.0,272.0,84.0,1950.0,moonee valley,-37.7294,144.888,western metropolitan,3464.0,75.0,0.007326007326007326,2017.0,4.0
airport west,1/80 hawker st,3,t,700000.0,s,brad,2017-04-03,13.5,3042.0,3.0,2.0,2.0,239.0,134.0,2009.0,moonee valley,-37.7218,144.8837,western metropolitan,3464.0,16.0,0.0125,2017.0,4.0
airport west,1/37 hillside gr,3,h,600000.0,s,maddison,2017-04-03,13.5,3042.0,2.0,1.0,1.0,290.0,116.0,1980.0,moonee valley,-37.7273,144.8744,western metropolitan,3464.0,45.0,0.010309278350515464,2017.0,4.0
airport west,2/49 mcintosh st,2,u,500000.0,vb,barry,2017-04-03,13.5,3042.0,2.0,1.0,1.0,168.0,86.0,2011.0,moonee valley,-37.7215,144.8864,western metropolitan,3464.0,14.0,0.011834319526627219,2017.0,4.0
airport west,54 marshall rd,3,h,720000.0,s,barry,2016-06-08,13.5,3042.0,2.0,1.0,1.0,620.0,126.0,1970.0,moonee valley,-37.7173,144.8872,western metropolitan,3464.0,55.0,0.004830917874396135,2016.0,6.0
airport west,36 roberts rd,4,h,785000.0,s,considine,2016-06-08,13.5,3042.0,3.0,1.0,2.0,597.0,127.0,1970.0,moonee valley,-37.7259,144.8792,western metropolitan,3464.0,55.0,0.006688963210702341,2016.0,6.0
airport west,11 harrington rd,6,h,725000.0,sp,barry,2016-07-05,13.5,3042.0,6.0,3.0,2.0,976.0,186.0,1980.0,moonee valley,-37.7239,144.8735,western metropolitan,3464.0,45.0,0.006141248720573183,2016.0,7.0
airport west,2/252 parer rd,2,t,450000.0,s,barry,2016-07-05,13.5,3042.0,2.0,1.0,1.0,110.0,90.0,2015.0,moonee valley,-37.7216,144.871,western metropolitan,3464.0,10.0,0.018018018018018018,2016.0,7.0
airport west,3/19 hart st,2,u,515000.0,s,barry,2016-07-11,13.5,3042.0,2.0,1.0,1.0,141.0,73.0,2013.0,moonee valley,-37.7298,144.8883,western metropolitan,3464.0,12.0,0.014084507042253521,2016.0,7.0
airport west,2/62 clydesdale rd,2,u,530000.0,s,nelson,2016-10-09,13.5,3042.0,2.0,1.0,1.0,120.0,94.0,2012.0,moonee valley,-37.7234,144.8792,western metropolitan,3464.0,13.0,0.01652892561983471,2016.0,10.0
airport west,3 deidre ct,3,h,895000.0,pi,rendina,2016-10-09,13.5,3042.0,3.0,1.0,6.0,1063.0,133.0,1975.0,moonee valley,-37.7249,144.8728,western metropolitan,3464.0,50.0,0.002819548872180451,2016.0,10.0
airport west,13 etzel st,3,h,805000.0,s,nelson,2016-10-12,13.5,3042.0,3.0,1.0,1.0,0.0,105.0,1950.0,moonee valley,-37.7217,144.8783,western metropolitan,3464.0,75.0,3.0,2016.0,10.0
airport west,1/43 cameron st,3,u,752000.0,s,nelson,2017-11-02,13.5,3042.0,3.0,1.0,1.0,265.0,130.0,1993.0,moonee valley,-37.7302,144.8855,western metropolitan,3464.0,32.0,0.011278195488721804,2017.0,11.0
airport west,145a victory rd,2,u,440000.0,s,barry,,13.5,3042.0,2.0,1.0,1.0,192.0,126.0,1970.0,moonee valley,-37.7177,144.8787,western metropolitan,3464.0,55.0,0.010362694300518135,,
airport west,241 parer rd,5,h,755000.0,pi,propertyau,,13.5,3042.0,3.0,2.0,2.0,596.0,126.0,1970.0,moonee valley,-37.7248,144.8699,western metropolitan,3464.0,55.0,0.008375209380234505,,
airport west,2/40 earl st,3,t,700000.0,pi,brad,,13.5,3042.0,3.0,2.0,2.0,165.0,133.0,2009.0,moonee valley,-37.727,144.887,western metropolitan,3464.0,16.0,0.018072289156626505,,
airport west,180 parer rd,3,h,830000.0,s,barry,,13.5,3042.0,3.0,1.0,2.0,971.0,113.0,1960.0,moonee valley,-37.7186,144.876,western metropolitan,3464.0,65.0,0.0030864197530864196,,
airport west,4/54 hawker st,2,u,462500.0,s,barry,,13.5,3042.0,2.0,1.0,1.0,164.0,126.0,2003.0,moonee valley,-37.7218,144.8863,western metropolitan,3464.0,22.0,0.012121212121212121,,
airport west,43 hillside gr,3,h,670000.0,sp,barry,,13.5,3042.0,3.0,2.0,2.0,657.0,126.0,1970.0,moonee valley,-37.7269,144.8742,western metropolitan,3464.0,55.0,0.004559270516717325,,
airport west,174 parer rd,2,h,675000.0,s,barry,,13.5,3042.0,2.0,1.0,1.0,612.0,100.0,1975.0,moonee valley,-37.7187,144.8765,western metropolitan,3464.0,50.0,0.0032626427406199023,,
airport west,138 victory rd,3,h,1042000.0,s,nelson,,13.5,3042.0,3.0,2.0,5.0,612.0,174.0,1950.0,moonee valley,-37.7173,144.8796,western metropolitan,3464.0,75.0,0.004893964110929853,,
airport west,75 king st,3,h,910000.0,s,mcdonald,,13.5,3042.0,3.0,1.0,1.0,775.0,126.0,1970.0,moonee valley,-37.7231,144.8835,western metropolitan,3464.0,55.0,0.003865979381443299,,
airport west,6 kittyhawk st,4,h,773000.0,s,brad,,13.5,3042.0,5.0,3.0,4.0,531.0,309.0,1980.0,moonee valley,-37.7263,144.8679,western metropolitan,3464.0,45.0,0.007518796992481203,,
airport west,478 fullarton rd,3,h,810000.0,pi,barry,,13.5,3042.0,3.0,3.0,2.0,555.0,192.0,1980.0,moonee valley,-37.7285,144.8694,western metropolitan,3464.0,45.0,0.00539568345323741,,
airport west,144 marshall rd,3,h,715000.0,s,rendina,,13.5,3042.0,3.0,2.0,2.0,422.0,126.0,1995.0,moonee valley,-37.7164,144.8792,western metropolitan,3464.0,30.0,0.0070921985815602835,,
airport west,106 parer rd,3,h,790000.0,s,nelson,,13.5,3042.0,3.0,1.0,3.0,614.0,126.0,1970.0,moonee valley,-37.7194,144.8827,western metropolitan,3464.0,55.0,0.004878048780487805,,
airport west,3/7 south rd,3,t,540000.0,sp,nelson,,13.5,3042.0,2.0,2.0,1.0,161.0,101.0,2010.0,moonee valley,-37.7231,144.8802,western metropolitan,3464.0,15.0,0.018518518518518517,,
airport west,37 north st,3,t,825000.0,sp,barry,,13.5,3042.0,3.0,2.0,1.0,293.0,102.0,1960.0,moonee valley,-37.72,144.8776,western metropolitan,3464.0,65.0,0.01020408163265306,,
airport west,10 hilbert rd,3,h,685000.0,s,barry,,13.5,3042.0,3.0,1.0,1.0,579.0,113.0,1975.0,moonee valley,-37.7226,144.8733,western metropolitan,3464.0,50.0,0.005172413793103448,,
airport west,110 halsey rd,3,h,805000.0,s,barry,,13.5,3042.0,3.0,1.0,1.0,623.0,126.0,1970.0,moonee valley,-37.7184,144.882,western metropolitan,3464.0,55.0,0.004807692307692308,,
airport west,2/13 north st,2,u,510000.0,s,nelson,,13.5,3042.0,2.0,1.0,1.0,141.0,76.0,1970.0,moonee valley,-37.7202,144.8797,western metropolitan,3464.0,55.0,0.014084507042253521,,
airport west,105a victory rd,3,h,612000.0,s,nelson,,13.5,3042.0,3.0,2.0,1.0,212.0,126.0,1970.0,moonee valley,-37.7181,144.8824,western metropolitan,3464.0,55.0,0.014084507042253521,,
airport west,117 marshall rd,3,h,662000.0,s,brad,,13.5,3042.0,3.0,1.0,2.0,612.0,126.0,1970.0,moonee valley,-37.7169,144.8815,western metropolitan,3464.0,55.0,0.004893964110929853,,
airport west,34 moorna dr,4,h,978000.0,s,nelson,,13.5,3042.0,4.0,3.0,2.0,532.0,126.0,1970.0,moonee valley,-37.7263,144.869,western metropolitan,3464.0,55.0,0.0075046904315197,,
airport west,33 north st,3,h,720000.0,pi,nelson,,13.5,3042.0,3.0,1.0,1.0,585.0,126.0,1970.0,moonee valley,-37.72,144.878,western metropolitan,3464.0,55.0,0.005119453924914676,,
airport west,49 roberts rd,4,h,765000.0,s,prof.,,13.5,3042.0,4.0,1.0,2.0,509.0,126.0,1970.0,moonee valley,-37.7261,144.8785,western metropolitan,3464.0,55.0,0.00784313725490196,,
airport west,85 roberts rd,4,h,900000.0,s,harcourts,,13.5,3042.0,4.0,2.0,3.0,628.0,146.0,1975.0,moonee valley,-37.7256,144.8739,western metropolitan,3464.0,50.0,0.006359300476947536,,
albert park,105 kerferd rd,2,h,1275000.0,s,hockingstuart,2016-03-09,3.3,3206.0,2.0,1.0,0.0,120.0,82.0,1900.0,port phillip,-37.8459,144.9555,southern metropolitan,3280.0,125.0,0.01652892561983471,2016.0,3.0
albert park,85 richardson st,2,h,1455000.0,s,thomson,2016-03-09,3.3,3206.0,2.0,1.0,0.0,159.0,126.0,1970.0,port phillip,-37.845,144.9538,southern metropolitan,3280.0,55.0,0.0125,2016.0,3.0
albert park,112 beaconsfield pde,3,h,2850000.0,pi,buxton,2017-04-03,3.3,3206.0,3.0,2.0,0.0,211.0,198.0,1890.0,port phillip,-37.8481,144.9499,southern metropolitan,3280.0,135.0,0.014150943396226415,2017.0,4.0
albert park,94 graham st,3,h,1850000.0,s,greg,2017-04-03,3.3,3206.0,3.0,2.0,0.0,128.0,133.0,1890.0,port phillip,-37.8452,144.9488,southern metropolitan,3280.0,135.0,0.023255813953488372,2017.0,4.0
albert park,396 montague st,2,h,1436000.0,s,rt,2017-04-03,3.3,3206.0,2.0,1.0,0.0,130.0,81.0,1900.0,port phillip,-37.8431,144.9565,southern metropolitan,3280.0,125.0,0.015267175572519083,2017.0,4.0
albert park,75 graham st,2,h,1110000.0,s,marshall,2016-06-08,3.3,3206.0,1.0,1.0,0.0,147.0,126.0,1900.0,port phillip,-37.8444,144.9484,southern metropolitan,3280.0,125.0,0.013513513513513514,2016.0,6.0
albert park,54 brooke st,2,h,1550000.0,s,sotheby's,2016-07-05,3.3,3206.0,2.0,1.0,1.0,167.0,126.0,1970.0,port phillip,-37.8405,144.9521,southern metropolitan,3280.0,55.0,0.011904761904761904,2016.0,7.0
albert park,104 richardson st,4,h,2300000.0,s,marshall,2016-07-05,3.3,3206.0,4.0,2.0,1.0,153.0,180.0,1880.0,port phillip,-37.8447,144.9523,southern metropolitan,3280.0,145.0,0.025974025974025976,2016.0,7.0
albert park,4a mills st,3,t,1550000.0,vb,marshall,2016-07-11,3.3,3206.0,3.0,2.0,2.0,718.0,126.0,1970.0,port phillip,-37.8443,144.9598,southern metropolitan,3280.0,55.0,0.004172461752433936,2016.0,7.0
albert park,1 moubray st,3,h,1800000.0,vb,greg,2016-07-11,3.3,3206.0,3.0,2.0,1.0,132.0,159.0,1996.0,port phillip,-37.8415,144.952,southern metropolitan,3280.0,29.0,0.022556390977443608,2016.0,7.0
albert park,29 faussett st,2,h,2120000.0,s,greg,2016-10-09,3.3,3206.0,2.0,1.0,1.0,199.0,107.0,1900.0,port phillip,-37.8422,144.9554,southern metropolitan,3280.0,125.0,0.01,2016.0,10.0
albert park,3 herbert st,3,h,1800000.0,vb,cayzer,2016-10-09,3.3,3206.0,3.0,1.0,1.0,253.0,126.0,1970.0,port phillip,-37.8443,144.9579,southern metropolitan,3280.0,55.0,0.011811023622047244,2016.0,10.0
albert park,24 kerferd pl,3,h,1800000.0,s,marshall,2016-10-09,3.3,3206.0,3.0,2.0,1.0,90.0,122.0,1900.0,port phillip,-37.8421,144.9571,southern metropolitan,3280.0,125.0,0.03296703296703297,2016.0,10.0
albert park,44 draper st,2,h,1810000.0,pi,greg,2016-10-12,3.3,3206.0,2.0,1.0,0.0,240.0,126.0,1970.0,port phillip,-37.8379,144.9539,southern metropolitan,3280.0,55.0,0.008298755186721992,2016.0,10.0
albert park,2 dundas pl,3,h,2615000.0,s,cayzer,2016-10-12,3.3,3206.0,3.0,2.0,1.0,177.0,181.0,1880.0,port phillip,-37.8415,144.9585,southern metropolitan,3280.0,145.0,0.016853932584269662,2016.0,10.0
albert park,23 finlay st,5,h,2100000.0,s,greg,2016-10-12,3.3,3206.0,5.0,2.0,1.0,237.0,126.0,1970.0,port phillip,-37.8436,144.9557,southern metropolitan,3280.0,55.0,0.02100840336134454,2016.0,10.0
albert park,31 richardson st,3,h,1300000.0,s,hockingstuart,2016-10-12,3.3,3206.0,3.0,1.0,0.0,129.0,126.0,1970.0,port phillip,-37.8422,144.94899999999996,southern metropolitan,3280.0,55.0,0.023076923076923078,2016.0,10.0
albert park,4a gatehouse la,3,h,1370000.0,s,greg,2016-12-06,3.3,3206.0,3.0,2.0,2.0,0.0,85.0,2000.0,port phillip,-37.8451,144.9511,southern metropolitan,3280.0,25.0,3.0,2016.0,12.0
albert park,60 brooke st,2,h,1000000.0,s,cayzer,2016-12-11,3.3,3206.0,2.0,1.0,0.0,288.0,126.0,1970.0,port phillip,-37.8407,144.9523,southern metropolitan,3280.0,55.0,0.006920415224913495,2016.0,12.0
albert park,70 barrett st,3,h,2575000.0,s,greg,,3.3,3206.0,3.0,2.0,1.0,228.0,126.0,1970.0,port phillip,-37.8445,144.9501,southern metropolitan,3280.0,55.0,0.013100436681222707,,
albert park,65 graham st,2,h,1322500.0,s,greg,,3.3,3206.0,2.0,1.0,0.0,149.0,98.0,1890.0,port phillip,-37.8443,144.9481,southern metropolitan,3280.0,135.0,0.013333333333333334,,
albert park,364 montague st,2,h,1562500.0,s,greg,,3.3,3206.0,2.0,1.0,0.0,141.0,83.0,1890.0,port phillip,-37.8424,144.9562,southern metropolitan,3280.0,135.0,0.014084507042253521,,
albert park,86 mills st,3,h,2000000.0,vb,rt,,3.3,3206.0,3.0,2.0,1.0,211.0,147.0,1900.0,port phillip,-37.847,144.9575,southern metropolitan,3280.0,125.0,0.014150943396226415,,
albert park,129 kerferd rd,3,h,1900000.0,s,greg,,3.3,3206.0,3.0,1.0,0.0,209.0,126.0,1900.0,port phillip,-37.8468,144.9546,southern metropolitan,3280.0,125.0,0.014285714285714285,,
albert park,97 page st,3,h,3010000.0,s,greg,,3.3,3206.0,3.0,2.0,0.0,147.0,146.0,1890.0,port phillip,-37.8473,144.9551,southern metropolitan,3280.0,135.0,0.02027027027027027,,
albert park,55 withers st,4,h,2800000.0,vb,cayzer,,3.3,3206.0,4.0,3.0,1.0,327.0,254.0,1910.0,port phillip,-37.8467,144.9475,southern metropolitan,3280.0,115.0,0.012195121951219513,,
albert park,10/140 kerferd rd,2,u,647000.0,s,greg,,3.3,3206.0,2.0,1.0,1.0,0.0,126.0,1970.0,port phillip,-37.846,144.9542,southern metropolitan,3280.0,55.0,2.0,,
albert park,55 merton st,3,h,2100000.0,sp,marshall,,3.3,3206.0,2.0,1.0,1.0,120.0,123.0,1900.0,port phillip,-37.8427,144.9546,southern metropolitan,3280.0,125.0,0.024793388429752067,,
albert park,49 page st,3,h,2000000.0,pi,marshall,,3.3,3206.0,3.0,1.0,1.0,238.0,131.0,1890.0,port phillip,-37.8461,144.9528,southern metropolitan,3280.0,135.0,0.012552301255230125,,
albert park,13/52 moubray st,1,u,442500.0,s,marshall,,3.3,3206.0,1.0,1.0,0.0,0.0,34.0,1970.0,port phillip,-37.8421,144.9517,southern metropolitan,3280.0,55.0,1.0,,
albert park,32 page st,2,h,1340000.0,s,greg,,3.3,3206.0,2.0,1.0,0.0,136.0,126.0,1970.0,port phillip,-37.846,144.9517,southern metropolitan,3280.0,55.0,0.014598540145985401,,
albert park,34 richardson st,3,h,1801000.0,s,hockingstuart,,3.3,3206.0,3.0,1.0,1.0,202.0,126.0,1970.0,port phillip,-37.8429,144.9493,southern metropolitan,3280.0,55.0,0.014778325123152709,,
albert park,2b dundas pl,3,h,1532000.0,s,chisholm,,3.3,3206.0,3.0,3.0,1.0,0.0,126.0,1970.0,port phillip,-37.8415,144.9585,southern metropolitan,3280.0,55.0,3.0,,
albert park,27 barrett st,4,h,2140000.0,s,greg,,3.3,3206.0,3.0,2.0,1.0,183.0,145.0,1880.0,port phillip,-37.8434,144.9495,southern metropolitan,3280.0,145.0,0.021739130434782608,,
albert park,44 greig st,2,h,1750000.0,s,marshall,,3.3,3206.0,2.0,1.0,1.0,162.0,126.0,1970.0,port phillip,-37.8416,144.9488,southern metropolitan,3280.0,55.0,0.012269938650306749,,
albert park,6 brooke st,2,h,980000.0,s,greg,,3.3,3206.0,2.0,1.0,0.0,79.0,68.0,1890.0,port phillip,-37.8387,144.9519,southern metropolitan,3280.0,135.0,0.025,,
albert park,227a danks st,3,h,2030000.0,s,hockingstuart,,3.3,3206.0,3.0,2.0,0.0,152.0,126.0,1970.0,port phillip,-37.8488,144.9551,southern metropolitan,3280.0,55.0,0.0196078431372549,,
albert park,17 reed st,3,h,1740000.0,pi,marshall,,3.3,3206.0,3.0,2.0,2.0,147.0,134.0,1890.0,port phillip,-37.8448,144.9453,southern metropolitan,3280.0,135.0,0.02027027027027027,,
albert park,74 bridport st,3,h,2800000.0,vb,buxton,,3.3,3206.0,3.0,3.0,1.0,0.0,126.0,1970.0,port phillip,-37.8399,144.9577,southern metropolitan,3280.0,55.0,3.0,,
albert park,9 durham st,1,h,985000.0,s,marshall,,3.3,3206.0,1.0,1.0,0.0,81.0,54.0,1900.0,port phillip,-37.8411,144.9497,southern metropolitan,3280.0,125.0,0.012195121951219513,,
alphington,6 smith st,4,h,2000000.0,s,brace,2016-03-09,6.4,3078.0,3.0,2.0,4.0,853.0,263.0,1930.0,darebin,-37.7707,145.0318,northern metropolitan,2211.0,95.0,0.00468384074941452,2016.0,3.0
alphington,5/6 yarralea st,3,h,1110000.0,s,jellis,2016-03-09,6.4,3078.0,3.0,2.0,2.0,208.0,126.0,2013.0,yarra,-37.7854,145.0325,northern metropolitan,2211.0,12.0,0.014354066985645933,2016.0,3.0
alphington,136a fulham rd,3,h,1492000.0,s,jellis,2017-04-03,6.4,3078.0,3.0,2.0,2.0,411.0,126.0,1970.0,darebin,-37.7713,145.0279,northern metropolitan,2211.0,55.0,0.007281553398058253,2017.0,4.0
alphington,44 shiers st,4,h,1717500.0,s,collins,2016-08-10,6.4,3078.0,4.0,2.0,1.0,599.0,203.0,1925.0,darebin,-37.7717,145.031,northern metropolitan,2211.0,100.0,0.006666666666666667,2016.0,8.0
alphington,83 fulham rd,5,h,2840000.0,s,nelson,2016-12-06,6.4,3078.0,5.0,4.0,4.0,809.0,165.0,1910.0,darebin,-37.775,145.0268,northern metropolitan,2211.0,115.0,0.006172839506172839,2016.0,12.0
